book,page,img,panel_area,panel_width,panel_length,balloon_to_panel_ratio,detected_chars,character_model_confidence,balloon_model_confidence,detected_balloon_numbers,associated_balloon_numbers,associated_characters,text
T_22,1,ROI_14.png,524623,1289,407,0.0,[],['NONE'],[],0,[],{},[]
T_22,1,ROI_17.png,173452,412,421,0.237,[],['NONE'],"[0.913, 0.687]",2,[],"{0: 'NaN', 1: 'NaN'}","[""That's strange : could have sworn djakarta. "", ""where are we?. But I've told you : in Djakarta. ""]"
T_22,1,ROI_18.png,176400,420,420,0.217,[],['NONE'],"[0.929, 0.818]",2,[],"{0: 'NaN', 1: 'NaN'}","[""chandernagore? you're joking. ' "", 'But THIS IS Djakarta, billions of billions blue blistering barnacles. ']"
T_22,1,ROI_19.png,181427,433,419,0.336,['haddock'],[0.925],"[0.876, 0.678]",2,['2'],"{0: 'NaN', 1: 'haddock'}","['ah. botany You should have said so in the first place. ', ""I've told you already, thundering typhoons! That this here is Djakarta : djakarta!. taxing my patience! ""]"
T_22,1,ROI_20.png,185661,441,421,0.274,['tintin'],[0.867],"[0.86, 0.775]",2,['2'],"{0: 'NaN', 1: 'tintin'}","['Yes, I got it. But thought we were in Djakarta. ', ""No. Professor, it isn't Sydney. typets. it's djakarta. ""]"
T_22,1,ROI_21.png,351948,834,422,0.224,"['haddock', 'tintin']","[0.806, 0.766]","[0.859, 0.728, 0.691]",3,['2'],"{0: 'NaN', 1: 'haddock', 2: 'NaN'}","[""classy. We're going to travel by transit. prefer that!. have horror of aeroplanes. "", ""Ahl Passengers in transit, that's us. "", 'Passengers in transit here, please... This way, please.... ']"
T_22,1,ROI_22.png,196560,468,420,0.208,"['haddock', 'tintin', 'snowy']","[0.949, 0.927, 0.867]","[0.853, 0.712]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","['good idea. why not? ', 'say. Tintin, what about a little refreshment? ']"
T_22,1,ROI_23.png,156240,372,420,0.133,"['haddock', 'tintin']","[0.977, 0.934]","[0.842, 0.806]",2,"['1', '2']","{0: 'haddock', 1: 'tintin'}","[""Ahl. There's the bar, over "", ""Let's go there. ""]"
T_22,1,ROI_24.png,178083,423,421,0.16,"['haddock', 'tintin']","[0.981, 0.95]","[0.747, 0.662]",2,['2'],"{0: 'NaN', 1: 'haddock'}","['told on halt. stop! making fool of me like that!. ', 'UNKNOWN']"
T_22,2,ROI_26.png,197820,471,420,0.18,"['haddock', 'calculus', 'tintin']","[0.965, 0.931, 0.886]","[0.964, 0.747]",2,"['1', '2']","{0: 'calculus', 1: 'haddock'}","['there! young. are we in djakarta, yes or not. ', 'UNKNOWN']"
T_22,2,ROI_27.png,161280,384,420,0.447,"['haddock', 'calculus', 'tintin']","[0.973, 0.918, 0.913]",[0.948],1,['1'],{0: 'calculus'},"['you see?. But, of course, you think : "" Calculus, always absent-minded "" "" Never listens one says. iget the stick "" Consitantly has his head in so on, and so fourth.... ']"
T_22,2,ROI_28.png,170940,407,420,0.447,['haddock'],[0.952],[0.778],1,[],{0: 'NaN'},"[""Ah. That Calculus. me bonkers. Oh well, forget : iit. And instead let's go and have While that poor there perhaps can't even pay for cup of tea.... ""]"
T_22,2,ROI_29.png,185258,439,422,0.0,"['haddock', 'tintin', 'snowy']","[0.976, 0.839, 0.742]",[],0,[],{},[]
T_22,2,ROI_30.png,169242,402,421,0.361,[],['NONE'],"[0.798, 0.616]",2,[],"{0: 'NaN', 1: 'NaN'}","['All alone in the world. Abandoned by eve- a wreck. The proverbial loser, someone who even manages to catch a cold aaaaaway ', 'aaaaawayah. ']"
T_22,2,ROI_31.png,183582,423,434,0.012,[],['NONE'],[0.625],1,[],{0: 'NaN'},['UNKNOWN']
T_22,2,ROI_32.png,129780,309,420,0.248,['haddock'],[0.808],"[0.925, 0.92]",2,['1'],"{0: 'haddock', 1: 'NaN'}","[""Here's your hat. my good man. "", ""saraah. aaaahm.... aantha. 'ank your ""]"
T_22,2,ROI_33.png,112828,268,421,0.364,"['haddock', 'calculus']","[0.935, 0.735]",[0.865],1,[],{0: 'NaN'},"[""Hehl Hehl. generosity with discretion!. He didn't notice that I slipped a fiver into Hehl Hehl. ""]"
T_22,2,ROI_34.png,313820,710,442,0.0,['haddock'],[0.94],[],0,[],{},[]
T_22,2,ROI_35.png,176314,398,443,0.112,"['calculus', 'haddock']","[0.98, 0.938]","[0.921, 0.862]",2,"['1', '2']","{0: 'calculus', 1: 'haddock'}","[""I'm sorry. He definitely said tomei chandernagore!. "", 'but. ']"
T_22,2,ROI_36.png,168392,388,434,0.0,"['haddock', 'haddock']","[0.98, 0.96]",[],0,[],{},[]
T_22,2,ROI_37.png,102580,230,446,0.183,['tintin'],[0.852],[0.842],1,[],{0: 'NaN'},"[""billion's of. ""]"
T_22,2,ROI_38.png,124202,281,442,0.084,['haddock'],[0.953],"[0.675, 0.661]",2,"['1', '2']","{0: 'haddock', 1: 'haddock'}","['skut!.... ', '!']"
T_22,3,ROI_41.png,153824,368,418,0.315,"['haddock', 'tintin']","[0.946, 0.844]","[0.926, 0.896]",2,['2'],"{0: 'NaN', 1: 'haddock'}","['Captain Haddock, tintin. why, hello!. so pleased to see you again. ', 'skutii. skuts. old boy!. herel. What a pleasant surprisel. ']"
T_22,3,ROI_42.png,193997,463,419,0.114,"['haddock', 'tintin']","[0.938, 0.921]",[0.885],1,['1'],{0: 'tintin'},"[""I'm very proud. Professor, ""]"
T_22,3,ROI_43.png,180600,430,420,0.241,"['tintin', 'haddock']","[0.907, 0.826]",[0.948],1,[],{0: 'NaN'},"[""pilot private aeroplane. you've no doubt read of celebrated billionaire Laszlo Carreidas, right. Well, he's my boss.... ""]"
T_22,3,ROI_44.png,210420,501,420,0.252,"['haddock', 'tintin', 'calculus']","[0.968, 0.936, 0.769]",[0.858],1,[],{0: 'NaN'},"['Yes, him : Carreidas aeroplanes, wool, oil, electronics, Sani-Cola, and much else. Me take him to Sydney for International astronautical congress. ']"
T_22,3,ROI_45.png,101480,472,215,0.555,['haddock'],[0.982],[0.848],1,[],{0: 'NaN'},"[""Well, blow me down!. going to that Congress. we're among the quests For, dash it all. we inaugurated moon travel. ""]"
T_22,3,ROI_46.png,120960,288,420,0.426,['haddock'],[0.959],[0.885],1,['1'],{0: 'haddock'},"['No, no, no, the adventures are overl. all finished!. this is plea- trip.... noworries. cares. No excitement. ']"
T_22,3,ROI_47.png,91374,471,194,0.287,[],['NONE'],[0.897],1,[],{0: 'NaN'},['Ah.l Good.... thought you bound on another adventure. ']
T_22,3,ROI_48.png,138088,328,421,0.0,['haddock'],[0.949],[],0,[],{},[]
T_22,3,ROI_49.png,221760,528,420,0.216,"['haddock', 'snowy']","[0.958, 0.901]","[0.781, 0.707]",2,[],"{0: 'NaN', 1: 'NaN'}","['ruffian! ', ""I didn't see the blasted me up.l. Look, skipper : here's the telex with the flight. plan. ""]"
