book,page,img,panel_area,panel_width,panel_length,balloon_to_panel_ratio,detected_chars,character_model_confidence,balloon_model_confidence,detected_balloon_numbers,associated_balloon_numbers,associated_characters,text
T_23,1,ROI_0.png,1043700,1775,588,0.0,[],['NONE'],[],0,[],{},[]
T_23,1,ROI_1.png,259522,449,578,0.0,[],['NONE'],[],0,[],{},[]
T_23,1,ROI_2.png,360625,625,577,0.197,[],['NONE'],[0.862],1,[],{0: 'NaN'},['ah there you are. come on in. want you to read something. Look what il ']
T_23,1,ROI_3.png,381974,662,577,0.43,['haddock'],[0.972],[0.801],1,['1'],{0: 'haddock'},"['"" Opera star Bianca Castafiore con- tinues her brilliant progress through South America. after triumphs in Colombia and Venezuela, will be received by General Tapioca. "" ']"
T_23,1,ROI_4.png,347931,603,577,0.409,"['haddock', 'tintin']","[0.974, 0.882]","[0.956, 0.876]",2,"['1', '2']","{0: 'haddock', 1: 'tintin'}","[""General Tapioca Didn't he refricencia ie. Alcazar? "", ""real, tyrant. with the help of the Kiuri-Tasch regime in Borduria. they. say Tapioca's a cruel and he's vain. ""]"
T_23,1,ROI_5.png,330044,572,577,0.385,['tintin'],[0.906],[0.805],1,['1'],{0: 'tintin'},"[""In fact he's so vain he changed the name of the capital from los. softiers in He called it. Tapioca- himself. poor old. Alcazar, he's gone underground with a band of partisans. ""]"
T_23,1,ROI_6.png,326540,563,580,0.0,['tintin'],[0.837],[],0,[],{},[]
T_23,1,ROI_7.png,388509,671,579,0.358,"['haddock', 'tintin']","[0.979, 0.931]","[0.872, 0.833]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","['No, thanks. Not for me. You know that. ', 'Blistering barnacles, Tintin! What a lecture All that talking makes me thirsty. Here, have a whisky ']"
T_23,1,ROI_8.png,129168,414,312,0.052,['haddock'],[0.793],[0.839],1,[],{0: 'NaN'},['3rd ']
T_23,1,ROI_9.png,423583,691,613,0.0,"['tintin', 'haddock']","[0.935, 0.868]",[],0,[],{},[]
T_23,1,ROI_10.png,105984,414,256,0.0,['haddock'],[0.71],[],0,[],{},[]
T_23,2,ROI_13.png,334632,573,584,0.253,['haddock'],[0.976],[0.969],1,['1'],{0: 'haddock'},['Billions of blue blistering barnacles. some anamorphic aardvark switched my whisky. for this cleaning fluid! ']
T_23,2,ROI_14.png,235305,405,581,0.299,['tintin'],[0.913],"[0.938, 0.788]",2,['2'],"{0: 'NaN', 1: 'tintin'}","['well, bottled it all tastes much the same, I dare say. here! Try some ', 'UNKNOWN']"
T_23,2,ROI_15.png,86856,308,282,0.0,['tintin'],[0.751],[],0,[],{},[]
T_23,2,ROI_16.png,257964,444,581,0.297,"['haddock', 'tintin']","[0.886, 0.883]","[0.907, 0.892]",2,['2'],"{0: 'NaN', 1: 'tintin'}","[""like whisky 3' "", ""I'm no expert like you, of course, but it does seem to me to taste just ""]"
T_23,2,ROI_17.png,89964,306,294,0.0,[],['NONE'],[],0,[],{},[]
T_23,2,ROI_18.png,370734,637,582,0.401,"['haddock', 'tintin']","[0.969, 0.963]","[0.937, 0.875]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","['of course, of course.... But still.... ', ""My poor young friend, if that's a glass you so rightly pointed out. I'm an expert and I know a bit ""]"
T_23,2,ROI_19.png,229069,397,577,0.427,['snowy'],[0.716],[0.865],1,['1'],{0: 'snowy'},"[""don't know what that hogwash is. but it certainly isn't just to please you, I'm prepared to give ""]"
T_23,2,ROI_20.png,407037,703,579,0.0,"['snowy', 'haddock', 'tintin']","[0.969, 0.932, 0.898]",[],0,[],{},[]
T_23,2,ROI_21.png,334662,578,579,0.0,['haddock'],[0.921],[],0,[],{},[]
T_23,2,ROI_22.png,336399,581,579,0.105,"['tintin', 'haddock']","[0.922, 0.911]","[0.92, 0.639]",2,['1'],"{0: 'tintin', 1: 'NaN'}","['Oh yes! We know it all right! ', '0 0 ']"
T_23,2,ROI_23.png,344533,593,581,0.26,[],['NONE'],[0.709],1,[],{0: 'NaN'},"['who continues her triumphant tour through Latin America. "" Today she arrived in Tapiocampolis, capital of San Theodoros ']"
T_23,2,ROI_24.png,334650,575,582,0.236,[],['NONE'],[0.768],1,[],{0: 'NaN'},"['where she met with a tumultuous welcome. As usual, she is attend. ed by her faith- ful maid, ']"
T_23,2,ROI_25.png,335240,578,580,0.268,[],['NONE'],"[0.768, 0.682]",2,[],"{0: 'NaN', 1: 'NaN'}","['and her accompanist, Igor Wagner. Also in her entourage. to watch over her jewels... insured for millions ofdddollars. ', 'bis ']"
T_23,2,ROI_26.png,340460,587,580,0.201,[],['NONE'],[0.726],1,[],{0: 'NaN'},['are two certified detectives. always on the alert always following discreetly in her footsteps. ']
T_23,3,ROI_28.png,226398,389,582,0.0,[],['NONE'],[],0,[],{},[]
T_23,3,ROI_29.png,196378,338,581,0.14,['haddock'],[0.944],[0.916],1,['1'],{0: 'haddock'},['hello? WHO? ']
T_23,3,ROI_30.png,232179,401,579,0.545,[],['NONE'],[0.84],1,[],{0: 'NaN'},"[""joyon. over 919.oke. yes! hi! now. castimate. saw old. on the telly. And what do he'ar? if she hasn't got her knick-knacks insured now. ""]"
T_23,3,ROI_31.png,344544,592,582,0.0,[],['NONE'],[],0,[],{},[]
T_23,3,ROI_32.png,210756,364,579,0.363,['haddock'],[0.8],[0.944],1,['1'],{0: 'haddock'},"[""what? But I. how. We'll I'm. I tell you bint. Excuse me look here. ""]"
T_23,3,ROI_33.png,166464,288,578,0.248,[],['NONE'],[0.932],1,[],{0: 'NaN'},"[""Well I'll be.... That's beyond. a joke! ""]"
T_23,3,ROI_34.png,361828,626,578,0.262,"['tintin', 'haddock']","[0.922, 0.918]",[0.783],1,['1'],{0: 'haddock'},"[""In fact it's the thundering limit! I'm taken wagg because he wasn't asked to fiore's jewellery! ""]"
T_23,3,ROI_35.png,107360,440,244,0.0,['haddock'],[0.76],[],0,[],{},[]
T_23,3,ROI_36.png,160140,471,340,0.0,['haddock'],[0.804],[],0,[],{},[]
T_23,3,ROI_37.png,244917,423,579,0.194,['haddock'],[0.933],[0.921],1,[],{0: 'NaN'},['Billions of billions blue discerning is promised. puff!. poji ']
T_23,3,ROI_38.png,186911,311,601,0.369,['haddock'],[0.918],[0.775],1,['1'],{0: 'haddock'},['poison. 2 2 2 ']
T_23,3,ROI_39.png,341031,589,579,0.271,"['tintin', 'haddock']","[0.943, 0.908]",[0.9],1,['1'],{0: 'haddock'},"['Nonsense, Captain! Who on earth would want to poison myies. 3 I know. but not as deadly as that. ']"
T_23,3,ROI_40.png,245920,424,580,0.388,[],['NONE'],"[0.914, 0.837]",2,[],"{0: 'NaN', 1: 'NaN'}","['Something wrong with this whisky? It tastes. pretty good ', 'maybe. anyway. feel at all well. ']"
T_23,3,ROI_41.png,305080,526,580,0.111,"['haddock', 'tintin']","[0.906, 0.83]",[0.807],1,['1'],{0: 'tintin'},"[""Have a lie down, Captain. It's 90 ""]"
T_23,3,ROI_42.png,259126,446,581,0.149,[],['NONE'],[0.938],1,[],{0: 'NaN'},"[""Good night! You'll feel better in the morning. ""]"
T_23,3,ROI_43.png,241530,415,582,0.134,['tintin'],[0.92],[0.778],1,['1'],{0: 'tintin'},['All the same. wonder ']
T_23,3,ROI_44.png,211800,353,600,0.273,['tintin'],[0.849],[0.775],1,[],{0: 'NaN'},['snowy! ']
T_23,4,ROI_47.png,407632,698,584,0.23,[],['NONE'],"[0.883, 0.703, 0.701]",3,[],"{0: 'NaN', 1: 'NaN', 2: 'NaN'}","['showhat? wassa with a drop of whisky? ', 'HTC ', ""Snowy, you're hopeless! You've drunk all that spilt whisky! ""]"
T_23,4,ROI_48.png,315520,544,580,0.292,"['tintin', 'tintin']","[0.969, 0.846]","[0.79, 0.749]",2,['2'],"{0: 'NaN', 1: 'tintin'}","['come on, off to bed. you old dispsol. ', ""Still, it certainly proves the whisky isn't poisoned. ""]"
T_23,4,ROI_49.png,287184,496,579,0.205,"['haddock', 'haddock']","[0.955, 0.832]",[0.951],1,['1'],{0: 'haddock'},['look horrible this morning Must have been that wretched whisky I had yester. diary. ']
T_23,4,ROI_50.png,204052,734,278,0.27,['haddock'],[0.955],[0.796],1,['1'],{0: 'haddock'},"[""Oh well, too bad, can't be helped It's time for ""]"
T_23,4,ROI_51.png,311997,537,581,0.0,"['haddock', 'haddock']","[0.929, 0.923]",[],0,[],{},[]
T_23,4,ROI_52.png,275394,474,581,0.286,['haddock'],[0.902],[0.836],1,['1'],{0: 'haddock'},['Tintin!.... Tintin just happened marvellous tapioca! ']
T_23,4,ROI_53.png,214036,733,292,0.0,[],['NONE'],[],0,[],{},[]
T_23,4,ROI_54.png,430197,743,579,0.232,['haddock'],[0.96],"[0.921, 0.917]",2,['1'],"{0: 'haddock', 1: 'NaN'}","[""He's arrested Castafiore, silly fellow. He doesn't know what he's let himself in for! "", 'Arrested Casta- fiorez. no! ']"
T_23,4,ROI_55.png,240609,417,577,0.528,['haddock'],[0.949],"[0.9, 0.762, 0.713]",3,"['1', '3']","{0: 'haddock', 1: 'NaN', 2: 'haddock'}","['He has you know. arrested her at the end of a concert what 91 turn up. ein? ', 'You could say so, yes. ', 'You could say so, yes. ']"
T_23,4,ROI_56.png,336396,582,578,0.144,[],['NONE'],[0.681],1,[],{0: 'NaN'},['Tintack Capock Hatpin. Dreadful! ']
T_23,4,ROI_57.png,361340,623,580,0.237,['haddock'],[0.92],"[0.939, 0.923]",2,['2'],"{0: 'NaN', 1: 'haddock'}","['Read this! In the "" Daily Reporter. "" I Bianca Castafiore has been arrested! ', 'Dothey give any. details? ']"
T_23,4,ROI_58.png,295358,511,578,0.193,[],['NONE'],[0.958],1,[],{0: 'NaN'},"['That poor child!. substiteragine!... I "" I just m absolutely ']"
T_23,4,ROI_59.png,380673,621,613,0.0,[],['NONE'],[],0,[],{},[]
