book,page,img,panel_area,panel_width,panel_length,balloon_to_panel_ratio,detected_chars,character_model_confidence,balloon_model_confidence,detected_balloon_numbers,associated_balloon_numbers,associated_characters,text
T_14,1,ROI_17.png,79523,283,281,0.0,[],['NONE'],[],0,[],{},[]
T_14,1,ROI_18.png,362734,619,586,0.0,[],['NONE'],[],0,[],{},[]
T_14,1,ROI_19.png,304968,524,582,0.268,[],['NONE'],[0.967],1,[],{0: 'NaN'},"[""haddock, retired ship's cap- a tain, and Tintin, the reporter? ""]"
T_14,1,ROI_20.png,350364,602,582,0.449,"['haddock', 'tintin']","[0.947, 0.926]","[0.929, 0.78]",2,['1'],"{0: 'tintin', 1: 'NaN'}","['absolutely. ', 'as understand it, situation. your friend professor Calculus has been kidnapped, and you have good reason to believe he\'s aboard the cargo ship "" Pachacamac "" due to arrive in Callao any day now. Am right? \' ']"
T_14,1,ROI_21.png,229495,395,581,0.4,[],['NONE'],[0.917],1,[],{0: 'NaN'},"['Well gentlemen, as soon as the \' Pachacaimac "" comes port the ship. If your friend mediately. we can only.... ']"
T_14,1,ROI_22.png,425590,730,583,0.032,"['haddock', 'snowy', 'tintin']","[0.961, 0.934, 0.914]","[0.909, 0.901]",2,"['1', '2']","{0: 'haddock', 1: 'haddock'}","['!', '?']"
T_14,1,ROI_23.png,358046,611,586,0.15,"['haddock', 'tintin']","[0.962, 0.953]",[0.693],1,['1'],{0: 'tintin'},['look down there an Indian running away Someone was spying on us. ']
T_14,1,ROI_24.png,400140,684,585,0.227,['haddock'],[0.745],"[0.909, 0.888]",2,['1'],"{0: 'haddock', 1: 'NaN'}","[""no, no, clearly : an Indian,'peering through the railings.'He disappeared behind those bushes. "", ""surely you 're mistaken ""]"
T_14,1,ROI_25.png,292000,500,584,0.174,"['haddock', 'tintin', 'snowy']","[0.946, 0.89, 0.787]",[0.912],1,[],{0: 'NaN'},['Bah! What does it matter? There nothing confidential in was what we said. ']
T_14,1,ROI_26.png,326502,561,582,0.34,"['haddock', 'tintin']","[0.964, 0.895]",[0.901],1,[],{0: 'NaN'},"[""why not forget the whole incident.... and allow me to offer you a glass of pisco? comie. here's to the safe return ""]"
T_14,2,ROI_34.png,444528,756,588,0.0,"['haddock', 'tintin']","[0.963, 0.808]",[],0,[],{},[]
T_14,2,ROI_35.png,295678,502,589,0.347,"['haddock', 'tintin']","[0.954, 0.911]",[0.971],1,['1'],{0: 'haddock'},"[""Our lucky day! Just think we're going to see old Cuthbert again. This is the happiest of my life. thing's going to be all right : ""]"
T_14,2,ROI_36.png,289978,494,587,0.396,"['haddock', 'tintin']","[0.939, 0.926]","[0.898, 0.871]",2,['1'],"{0: 'tintin', 1: 'NaN'}","[""yes, thing up. But you know, it doesn't alter we're being watched. "", ""Perk up, don't look so gloomy. We'll soon see Cuthbert again. things looking up! are ""]"
T_14,2,ROI_37.png,529474,902,587,0.0,"['tintin', 'haddock', 'snowy']","[0.932, 0.848, 0.813]",[],0,[],{},[]
T_14,2,ROI_38.png,508342,866,587,0.065,"['haddock', 'snowy', 'tintin']","[0.937, 0.893, 0.814]",[0.892],1,['1'],{0: 'snowy'},"[""Hoity toity! Arien't we grand ""]"
T_14,2,ROI_39.png,363972,619,588,0.228,['haddock'],[0.981],[0.955],1,['1'],{0: 'haddock'},"[""Be careful? why?. I'm not going to eat your precious ilama ann 1 3. ""]"
T_14,2,ROI_40.png,301204,514,586,0.248,['haddock'],[0.923],[0.975],1,['1'],{0: 'haddock'},"[""you're a nice little llama, aren't you? you don't mind old Captain haddock, do you? ""]"
T_14,2,ROI_41.png,359775,615,585,0.0,['tintin'],[0.938],[],0,[],{},[]
T_14,2,ROI_42.png,627285,1065,589,0.028,"['haddock', 'snowy']","[0.985, 0.822]",[0.981],1,['1'],{0: 'snowy'},['And what manners! ']
T_14,2,ROI_43.png,413109,699,591,0.138,"['haddock', 'tintin', 'snowy']","[0.968, 0.909, 0.816]",[0.601],1,['1'],{0: 'haddock'},['ungrateful brute Animals like that ']
T_14,3,ROI_46.png,395550,675,586,0.238,"['haddock', 'tintin']","[0.96, 0.87]",[0.929],1,['1'],{0: 'tintin'},"['Perk up. Captain, don\'t look so gloomy. Remember, "" you said it yourself just now : things are looking up, we\'re ']"
T_14,3,ROI_47.png,225024,384,586,0.0,[],['NONE'],[],0,[],{},[]
T_14,3,ROI_48.png,226592,388,584,0.143,[],['NONE'],[0.911],1,[],{0: 'NaN'},['hotel cristobal colon. bueno ']
T_14,3,ROI_49.png,160908,276,583,0.0,[],['NONE'],[],0,[],{},[]
T_14,3,ROI_50.png,316100,545,580,0.396,"['haddock', 'tintin']","[0.937, 0.92]",[0.953],1,['1'],{0: 'tintin'},"['hello. yes, Tintin speaking Good morning, senior "" Chief what?. the carnac "" is in sight?. fine We\'ll be there right away. ']"
T_14,3,ROI_51.png,435580,751,580,0.115,"['tintin', 'haddock', 'snowy']","[0.947, 0.936, 0.809]",[0.871],1,['1'],{0: 'tintin'},"[""There's the Chief Inspector with his men. down on the quayside. ""]"
T_14,3,ROI_52.png,257964,444,581,0.391,"['haddock', 'tintin']","[0.967, 0.936]","[0.944, 0.833]",2,['1'],"{0: 'haddock', 1: 'NaN'}","['Thomson and Thomp- son. What are those nitwits doing here ', 'but. I must be seeing things look ']"
T_14,3,ROI_53.png,360294,618,583,0.145,"['haddock', 'tintin', 't-t']","[0.915, 0.884, 0.731]",[0.72],1,[],{0: 'NaN'},"['You asked about your friends well, they come. ']"
T_14,3,ROI_54.png,419177,719,583,0.243,"['t-t', 't-t', 'haddock', 'tintin']","[0.978, 0.948, 0.931, 0.928]",[0.915],1,['1'],{0: 't-t'},['not at These gentlemen were sent out by the to help in the search for your ']
T_14,3,ROI_55.png,234320,404,580,0.381,['haddock'],[0.959],"[0.93, 0.832]",2,"['1', '2']","{0: 'haddock', 1: 'haddock'}","['out there. to little tug with the red funnel ', 'Now for the pacha. camac "" "" Where is she? ']"
T_14,3,ROI_56.png,179800,310,580,0.36,[],['NONE'],[0.947],1,[],{0: 'NaN'},"['ah, now I\'ve got i\'t there she is... it\'s her all right... "" "" Pachacamac "" "" Let\'s hope old Cal- culus is on board! ']"
T_14,3,ROI_57.png,520576,896,581,0.0,[],['NONE'],[],0,[],{},[]
T_14,3,ROI_58.png,311952,536,582,0.126,"['tintin', 'haddock']","[0.948, 0.881]","[0.887, 0.839]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","['?', 'thundering typhoons! ']"
T_14,4,ROI_60.png,252135,431,585,0.273,"['haddock', 'tintin']","[0.967, 0.933]",[0.957],1,['1'],{0: 'haddock'},['Blistering barnacles! flag. and yellow and blue pennant ']
T_14,4,ROI_61.png,268056,459,584,0.451,"['haddock', 't-t']","[0.965, 0.96]","[0.943, 0.903]",2,"['1', '2']","{0: 'haddock', 1: 't-t'}","[""It's out of the ques. tion till the port health authorities have cleared her "", ""goodness gracious! and we've got to go on board to search. the ship. ""]"
T_14,4,ROI_62.png,248941,427,583,0.262,['tintin'],[0.961],[0.942],1,['1'],{0: 'tintin'},"[""There goes the doctor's now, heading the ""]"
T_14,4,ROI_63.png,237510,406,585,0.0,[],['NONE'],[],0,[],{},[]
T_14,4,ROI_64.png,331740,570,582,0.142,"['tintin', 'haddock', 'snowy']","[0.976, 0.905, 0.848]",[0.795],1,['1'],{0: 'tintin'},['well we can only wait until they. ve finished ']
