book,page,img,panel_area,panel_width,panel_length,balloon_to_panel_ratio,detected_chars,character_model_confidence,balloon_model_confidence,detected_balloon_numbers,associated_balloon_numbers,associated_characters,text
T_12,1,ROI_25.png,196686,441,446,0.0,[],['NONE'],[],0,[],{},[]
T_12,1,ROI_26.png,293488,664,442,0.028,[],['NONE'],[0.908],1,[],{0: 'NaN'},['greetings all ']
T_12,1,ROI_27.png,98346,222,443,0.163,['haddock'],[0.81],[0.921],1,['1'],{0: 'haddock'},['hey!. Van Dammel. ']
T_12,1,ROI_28.png,192717,437,441,0.243,['haddock'],[0.807],"[0.887, 0.881]",2,['1'],"{0: 'haddock', 1: 'NaN'}","[""Not too bad, and your still a ship's cook?. "", ""Hello, George. How's life? ""]"
T_12,1,ROI_29.png,194481,441,441,0.299,['haddock'],[0.818],[0.787],1,[],{0: 'NaN'},"[""as ever. I'm sailing in days. aboard the SIRIUS, with Captain Haddock and Tintin. Do you know them? ""]"
T_12,1,ROI_30.png,195360,444,440,0.42,[],['NONE'],[0.831],1,[],{0: 'NaN'},"[""tintin?. Captain Haddock?. sure know them. There's been per-th, of talk of them. over business with the Bird brothers but, say, the SIRIUS is a trawler. Are you going fishing?.... ""]"
T_12,1,ROI_31.png,193591,437,443,0.236,[],['NONE'],"[0.687, 0.605]",2,[],"{0: 'NaN', 1: 'NaN'}","['What tale are you telling. me? ', 'Yes, but no fishing. for treasure. ']"
T_12,1,ROI_32.png,202878,459,442,0.408,[],['NONE'],[0.871],1,[],{0: 'NaN'},"[""Well, it's like this. Only we must keep it to ourselves, what! It concerns the treasure of a 17th century. pirate, Red Rackham, who was on ship called the UNICORN. now, captain. haddock. ' ""]"
T_12,1,ROI_33.png,188256,424,444,0.281,[],['NONE'],[0.919],1,[],{0: 'NaN'},"['know where the UNICORN went down and.... and. you the rest, later. The walls here have ears.... ']"
T_12,2,ROI_42.png,219232,496,442,0.083,['haddock'],[0.952],[0.925],1,[],{0: 'NaN'},['Daily Reporter. Read all the news. ']
T_12,2,ROI_43.png,173706,393,442,0.049,['haddock'],[0.945],"[0.942, 0.921]",2,['2'],"{0: 'NaN', 1: 'haddock'}","['thanks. ', 'here. ']"
T_12,2,ROI_44.png,190920,430,444,0.127,['haddock'],[0.947],[0.675],1,[],{0: 'NaN'},['Daily Reporter. press. All the news. ']
