book,page,img,panel_area,panel_width,panel_length,balloon_to_panel_ratio,detected_chars,character_model_confidence,balloon_model_confidence,detected_balloon_numbers,associated_balloon_numbers,associated_characters,text
T_03,1,ROI_13.png,43512,259,168,0.0,[],['NONE'],[],0,[],{},[]
T_03,1,ROI_14.png,383774,617,622,0.0,[],['NONE'],[],0,[],{},[]
T_03,1,ROI_15.png,775012,1246,622,0.0,[],['NONE'],[],0,[],{},[]
T_03,1,ROI_16.png,351736,571,616,0.156,[],['NONE'],[0.814],1,[],{0: 'NaN'},['here we are. Snowy! chicago! ']
T_03,1,ROI_17.png,429586,694,619,0.191,"['tintin', 'snowy']","[0.942, 0.853]","[0.939, 0.664]",2,"['1', '2']","{0: 'snowy', 1: 'tintin'}","['watch out. chicago. here we corne! ', ""We'll go straight to the hotel. ""]"
T_03,1,ROI_18.png,360625,577,625,0.131,"['snowy', 'tintin']","[0.865, 0.729]",[0.854],1,['1'],{0: 'tintin'},"['The Osborne Hotel, please ']"
T_03,1,ROI_19.png,396114,642,617,0.0,[],['NONE'],[],0,[],{},[]
T_03,1,ROI_20.png,331485,539,615,0.0,[],['NONE'],[],0,[],{},[]
T_03,1,ROI_21.png,402170,655,614,0.0,[],['NONE'],[],0,[],{},[]
T_03,2,ROI_23.png,355260,573,620,0.365,[],['NONE'],"[0.934, 0.82]",2,[],"{0: 'NaN', 1: 'NaN'}","[""We're stymied then even. can't chew. through those! "", ""hey. what's the game?. we're locked in! And these shutters are made of steel! ""]"
T_03,2,ROI_24.png,398702,641,622,0.0,[],['NONE'],[],0,[],{},[]
T_03,2,ROI_25.png,391230,630,621,0.157,[],['NONE'],[0.654],1,[],{0: 'NaN'},"[""A blow-out! That's all need! ""]"
T_03,2,ROI_26.png,394940,637,620,0.145,[],['NONE'],[0.928],1,[],{0: 'NaN'},['come on come on gotta hurry up ']
T_03,2,ROI_27.png,345340,557,620,0.003,[],['NONE'],[0.743],1,[],{0: 'NaN'},['0 0 ']
T_03,2,ROI_28.png,402408,648,621,0.0,[],['NONE'],[],0,[],{},[]
T_03,2,ROI_29.png,411588,666,618,0.278,"['tintin', 'snowy']","[0.923, 0.874]",[0.659],1,[],{0: 'NaN'},"[""have a good trip! lucky packed He'll go through the roof when he finds il cut any way out! ""]"
T_03,2,ROI_30.png,346320,555,624,0.333,"['tintin', 'snowy']","[0.875, 0.852]",[0.923],1,['1'],{0: 'snowy'},['trust. me to be in the land of the automobile ten miles. on foot! ']
T_03,2,ROI_31.png,392490,623,630,0.0,"['tintin', 'snowy']","[0.949, 0.914]",[],0,[],{},[]
T_03,2,ROI_32.png,402380,649,620,0.347,"['tintin', 'snowy']","[0.967, 0.751]","[0.701, 0.609]",2,"['1', '2']","{0: 'tintin', 1: 'tintin'}","['?', 'quick, can you catch that can you just passed. and arrest the driver? He tried to kidnap me! ']"
T_03,2,ROI_33.png,345402,558,619,0.163,['tintin'],[0.883],[0.77],1,['1'],{0: 'tintin'},"[""Just keep still. Snowy. and don't be frightened ""]"
T_03,2,ROI_34.png,393624,639,616,0.161,['tintin'],[0.954],[0.641],1,['1'],{0: 'tintin'},"[""this way we'll soon overtake that gangster ""]"
T_03,3,ROI_37.png,357602,574,623,0.0,['tintin'],[0.928],[],0,[],{},[]
T_03,3,ROI_38.png,405573,651,623,0.168,['tintin'],[0.893],"[0.907, 0.62]",2,['2'],"{0: 'NaN', 1: 'tintin'}","[""yes, it's him. all right! "", 'That the car you mean? ']"
T_03,3,ROI_39.png,386250,625,618,0.052,[],['NONE'],[0.847],1,[],{0: 'NaN'},['stop! ']
T_03,3,ROI_40.png,369520,596,620,0.094,"['tintin', 'snowy']","[0.935, 0.732]",[0.86],1,['1'],{0: 'snowy'},"['Hands up, buddy ']"
T_03,3,ROI_41.png,357204,578,618,0.174,"['tintin', 'haddock']","[0.896, 0.781]",[0.886],1,['1'],{0: 'haddock'},['you kidnapped me! come on why? ']
T_03,3,ROI_42.png,405480,654,620,0.059,['tintin'],[0.945],[0.934],1,['1'],{0: 'tintin'},['what place? ']
T_03,3,ROI_43.png,359744,584,616,0.309,['tintin'],[0.935],[0.901],1,[],{0: 'NaN'},"[""the rendezvous. was to drive you? OK, just to show. I'm not really I'll spill the beans ""]"
T_03,3,ROI_44.png,419796,676,621,0.0,[],['NONE'],[],0,[],{},[]
T_03,3,ROI_45.png,357602,574,623,0.029,"['tintin', 'snowy']","[0.844, 0.773]",[0.649],1,['1'],{0: 'tintin'},['?']
T_03,3,ROI_46.png,402434,647,622,0.098,['tintin'],[0.825],[0.796],1,['1'],{0: 'tintin'},['look! A boomerang! ']
T_03,3,ROI_47.png,355925,575,619,0.062,[],['NONE'],[0.854],1,[],{0: 'NaN'},['thanks. ']
T_03,3,ROI_48.png,383780,620,619,0.049,[],['NONE'],[0.653],1,[],{0: 'NaN'},"['bye, suckers. ']"
T_03,4,ROI_50.png,363440,590,616,0.159,"['tintin', 'snowy']","[0.9, 0.723]",[0.677],1,['1'],{0: 'tintin'},"['quick, all into the carr! after him. ']"
